,Stock Symbol,Company
0,SGX: A17U,Ascendas Real Estate Investment Trust
1,SGX: C61U,CapitaCom Trust
2,SGX: C31,CapitaLand
3,SGX: C38U,CapitaMall Trust
4,SGX: C09,City Developments Limited
5,SGX: C52,ComfortDelGro Corporation
6,SGX: D01,Dairy Farm International Holdings
7,SGX: D05,DBS Group Holdings
8,SGX: G13,Genting Singapore PLC
9,SGX: H78,Hongkong Land Holdings
10,SGX: C07,Jardine Cycle & Carriage
11,SGX: J36,Jardine Matheson Holdings Limited
12,SGX: J37,Jardine Strategic Holdings Ltd
13,SGX: BN4,Keppel Corporation
14,SGX: N2IU,Mapletree Commercial Trust
15,SGX: ME8U,Mapletree Industrial Trust
16,SGX: M44U,Mapletree Logistics Trust
17,SGX: O39,Oversea-Chinese Banking Corp
18,SGX: S58,SATS
19,SGX: U96,Sembcorp Industries
20,SGX: C6L,Singapore Airlines
21,SGX: Z74,Singtel
22,SGX: S68,Singapore Exchange
23,SGX: S63,Singapore Technologies Engineering
24,SGX: Y92,Thai Beverages
25,SGX: U11,United Overseas Bank
26,SGX: U14,UOL Group
27,SGX: V03,Venture Corporation
28,SGX: BS6,Yangzijiang Shipbuilding HoldingsÂ [zh]
29,SGX: F34,Wilmar International
