Ticker,GICS
0910150D,253010
1284849D,352020
1288453D,302010
1317355D,451020
1448062D,502010
1500785D,551030
1518855D,502030
1519128D,451030
1539941D,101020
1541931D,453010
1566019D,202010
1684442D,201060
1697067D,151010
1715651D,151010
1806854D,202020
1812212D,502030
2727195Q,402020
9876544D,253010
9876549D,202020
9876566D,403010
9995522D,255040
A,352030
AA,151040
AAL,203020
AAMRQ,203020
AAP,255040
AAPL,452020
ABBV,352010
ABC,351020
ABMD,351010
ABT,351010
ACAS,402030
ACN,451020
ADBE,451030
ADI,453010
ADM,302020
ADP,451020
ADS,451020
ADSK,451030
AEE,551030
AEP,551010
AES,551050
AET,351020
AFL,403010
AGN,352020
AIG,403010
AIV,601010
AIZ,403010
AJG,403010
AKAM,451020
AKS,151040
ALB,151010
ALGN,351010
ALK,203020
ALL,403010
ALLE,201020
ALXN,352010
AMAT,453010
AMCC,453010
AMCR,151030
AMD,453010
AME,201040
AMG,402030
AMGN,352010
AMP,402030
AMT,601010
AMZN,255020
AN,255040
ANDV,101020
ANET,452010
ANF,255040
ANRZQ,101020
ANSS,451030
ANTM,351020
AON,403010
AOS,201020
APA,101020
APC,101020
APD,151010
APH,452030
APOL,253020
APTV,251010
ARE,601010
ARG,151010
ASH,151010
ATGE,253020
ATI,151040
ATO,551020
ATVI,502020
AVB,601010
AVGO,453010
AVP,303020
AVY,151030
AWK,551040
AXP,402020
AYI,201040
AZO,255040
BA,201010
BAC,401010
BAX,351010
BBBY,255040
BBY,255040
BC,252020
BCR,351010
BDX,351010
BEN,402030
BF/B,302010
BHF,403010
BHI,101010
BIG,255030
BIIB,352010
BK,402030
BKNG,255020
BKR,101010
BLK,402030
BLL,151030
BMS,151030
BMY,352020
BR,451020
BRCM,453010
BRK/B,402010
BSX,351010
BTUUQ,101020
BWA,251010
BXLT,352010
BXP,601010
C,401010
CA,451030
CAG,302020
CAH,351020
CAM,101010
CAR,203040
CAT,201060
CB,403010
CBOE,402030
CBRE,601020
CCEP,302010
CCI,601010
CCL,253010
CDNS,451030
CDW,452030
CE,151010
CELG,352010
CERN,351030
CF,151010
CFG,401010
CFN,351010
CHD,303010
CHKAQ,101020
CHRW,203010
CHTR,502010
CI,351020
CIEN,452010
CINF,403010
CL,303010
CLF,151040
CLX,303010
CMA,401010
CMCSA,502010
CMCSK,502010
CME,402030
CMG,253010
CMI,201060
CMS,551030
CNC,351020
CNP,551030
CNX,101020
COF,402020
COG,101020
COL,201010
COO,351010
COP,101020
COST,301010
COTY,303020
COV,351010
CPB,302020
CPGX,101020
CPRI,252030
CPRT,202010
CR,201060
CRM,451030
CSC,451020
CSCO,452010
CSRA,451020
CSX,203040
CTAS,202010
CTB,251010
CTL,501010
CTSH,451020
CTVA,151010
CTXS,451030
CVC,502010
CVG,451020
CVS,351020
CVX,101020
CXO,101020
D,551030
DAL,203020
DD,151010
DDS,255030
DE,201060
DFODQ,302020
DFS,402020
DG,255030
DGX,351020
DHI,252010
DHR,351010
DIS,502020
DISCA,502010
DISCK,502010
DISH,502010
DLR,601010
DLTR,255030
DLX,202010
DNR,101020
DOFSQ,101010
DOV,201060
DOW,151010
DRE,601010
DRI,253010
DTE,551030
DUK,551010
DVA,351020
DVN,101020
DXC,451020
EA,502020
EBAY,255020
ECL,151010
ED,551030
EFX,202020
EHC,351020
EIX,551010
EKDKQ,452020
EL,303020
EMC,452020
EMN,151010
EMR,201040
ENDP,352020
EOG,101020
EQIX,601010
EQR,601010
EQT,101020
ES,551010
ESRX,351020
ESS,601010
ETFC,402030
ETN,201040
ETR,551010
EVHC,351020
EVRG,551010
EW,351010
EXC,551010
EXPD,203010
EXPE,255020
EXR,601010
F,251020
FANG,101020
FAST,201070
FB,502030
FBHS,201020
FCX,151040
FDO,255030
FDX,203010
FE,551010
FFIV,452010
FHI,402030
FHN,401010
FIS,451020
FISV,451020
FITB,401010
FL,255040
FLIR,452030
FLR,201030
FLS,201060
FLT,451020
FMC,151010
FMCC,401020
FNMA,401020
FOSL,252030
FOX,502010
FOXA,502010
FRC,401010
FRT,601010
FSLR,453010
FTI,101010
FTNT,451030
FTRCQ,501010
FTV,201060
GAS,551020
GD,201010
GE,201050
GGP,601010
GHC,253020
GILD,352010
GIS,302020
GL,403010
GLW,452030
GM,251020
GMCR,302020
GME,255040
GNW,403010
GOLD,151040
GOOG,502030
GOOGL,502030
GPC,255010
GPN,451020
GPS,255040
GRMN,252010
GS,402030
GT,251010
GWW,201070
HAL,101010
HAR,252010
HAS,252020
HBAN,401010
HBI,252030
HCA,351020
HCBK,401020
HD,255040
HES,101020
HFC,101020
HIG,403010
HII,201010
HLT,253010
HOG,251020
HOLX,351010
HON,201050
HOT,253010
HP,101010
HPE,452020
HPQ,452020
HRB,253020
HRL,302020
HSH,302020
HSIC,351020
HSP,352020
HST,601010
HSY,302020
HUM,351020
HWM,201010
IBM,451020
ICE,402030
IDXX,351010
IEX,201060
IFF,151010
ILMN,352030
INCY,352010
INFO,202020
INTC,453010
INTU,451030
IP,151030
IPG,502010
IPGP,452030
IQV,352030
IRM,601010
ISRG,351010
IT,451020
ITT,201060
ITW,201060
IVZ,402030
J,201030
JBHT,203040
JBL,452030
JCI,201020
JCPNQ,255030
JEF,402010
JKHY,451020
JNJ,352020
JNPR,452010
JNS,402030
JOY,201060
JPM,401010
JWN,255030
K,302020
KATE,252030
KBH,252010
KDP,302010
KEY,401010
KEYS,452030
KHC,302020
KIM,601010
KLAC,453010
KMB,303010
KMI,101020
KMX,255040
KO,302010
KR,301010
KRFT,302020
KSS,255030
KSU,203040
L,403010
LB,255040
LDOS,451020
LEG,252010
LEN,252010
LH,351020
LHX,201010
LIN,151010
LKQ,255010
LLL,201010
LLTC,453010
LLY,352020
LM,402030
LMT,201010
LNC,403010
LNT,551010
LO,302030
LOW,255040
LPX,151050
LRCX,453010
LUV,203020
LVLT,501010
LVS,253010
LW,302020
LXK,452020
LYB,151010
LYV,502020
M,255030
MA,451020
MAA,601010
MAC,601010
MAR,253010
MAS,201020
MAT,252020
MBI,403010
MCD,253010
MCHP,453010
MCK,351020
MCO,402030
MDLZ,302020
MDP,502010
MDRIQ,101010
MDT,351010
MET,403010
MGM,253010
MHK,252010
MJN,302020
MKC,302020
MKTX,402030
MLM,151020
MMC,403010
MMM,201050
MNK,352020
MNST,302010
MO,302030
MON,151010
MOS,151010
MPC,101020
MRK,352020
MRO,101020
MS,402030
MSCI,402030
MSFT,451030
MSI,452010
MTB,401010
MTD,352030
MTG,401020
MTW,201060
MU,453010
MUR,101020
MWV,151030
MWW,502030
MXIM,453010
MYL,352020
NAV,201060
NAVI,402020
NBL,101020
NBR,101010
NCLH,253010
NCR,452020
NDAQ,402030
NE,101010
NEE,551010
NEM,151040
NFLX,502020
NFX,101020
NI,551030
NKE,252030
NKTR,352020
NLOK,451030
NLSN,202020
NOC,201010
NOV,101010
NOW,451030
NRG,551010
NSC,203040
NTAP,452020
NTRS,402030
NUE,151040
NVDA,453010
NVR,252010
NWL,252010
NWS,502010
NWSA,502010
NYT,502010
O,601010
ODFL,203040
OI,151030
OKE,101020
OMC,502010
ORCL,451030
ORLY,255040
OXY,101020
PAYX,451020
PBCT,401010
PBI,202010
PCAR,201060
PCG,551010
PCL,601010
PCP,201010
PDCO,351020
PEAK,601010
PEG,551030
PEP,302010
PETM,255040
PFE,352020
PFG,403010
PG,303010
PGR,403010
PH,201060
PHM,252010
PKG,151030
PKI,352030
PLD,601010
PM,302030
PMCS,453010
PNC,401010
PNR,201060
PNW,551010
POM,551010
PPG,151010
PPL,551010
PRGO,352020
PRU,403010
PSA,601010
PSX,101020
PTC,451030
PVH,252030
PWR,201030
PX,151010
PXD,101020
PYPL,451020
QCOM,453010
QEP,101020
QLGC,452030
QRVO,453010
R,203040
RAI,302030
RCL,253010
RDC,101010
RE,403010
REG,601010
REGN,352010
RF,401010
RHI,202020
RHT,451030
RIG,101010
RJF,402030
RL,252030
RMD,351010
ROK,201040
ROL,202010
ROP,201050
ROST,255040
RRC,101020
RRD,202010
RSG,202010
RSHCQ,255040
RTN,201010
RTX,201010
SANM,452030
SAPE,451020
SBAC,601010
SBUX,253010
SCG,551030
SCHW,402030
SEE,151030
SHLDQ,255030
SHW,151010
SIAL,151010
SIG,255040
SITC,601010
SIVB,401010
SJM,302020
SLB,101010
SLG,601010
SLM,402020
SNA,201060
SNDK,452020
SNI,502010
SNPS,451030
SNV,401010
SO,551010
SOV,401010
SPG,601010
SPGI,402030
SPLS,255040
SRCL,202010
SRE,551030
SSP,502010
STE,351010
STI,401010
STJ,351010
STR,551020
STT,402030
STX,452020
STZ,302010
SUNEQ,453010
SVU,301010
SWK,201060
SWKS,453010
SWN,101020
SWY,301010
SYF,402020
SYK,351010
SYY,301010
T,501010
TAP,302010
TDC,451030
TDG,201010
TEG,551030
TEL,452030
TER,453010
TEX,201060
TFC,401010
TFCF,502020
TFCFA,502020
TFX,351010
TGNA,502010
TGT,255030
THC,351020
TIF,255040
TJX,255040
TMO,352030
TMUS,501020
TPR,252030
TRIP,502030
TROW,402030
TRV,403010
TSCO,255040
TSN,302020
TSS,451020
TT,201020
TTWO,502020
TUP,252010
TWC,502010
TWTR,502030
TWX,502020
TXN,453010
TXT,201010
UA,252030
UAA,252030
UAL,203020
UDR,601010
UHS,351020
UIS,451020
ULTA,255040
UN,303020
UNH,351020
UNM,403010
UNP,203040
UPS,203010
URBN,255040
URI,201070
USB,401010
V,451020
VAL,101010
VAR,351010
VFC,252030
VIAB,502020
VIAC,502010
VIAV,452010
VLO,101020
VMC,151020
VNO,601010
VRSK,202020
VRSN,451020
VRTX,352010
VTR,601010
VTSS,453010
VZ,501010
WAB,201060
WAT,352030
WBA,301010
WCG,351020
WDC,452020
WEC,551030
WELL,601010
WFC,401010
WFM,301010
WFTIQ,101010
WHR,252010
WINMQ,501010
WLTW,403010
WM,202010
WMB,101020
WMT,301010
WOR,151040
WPX,101020
WRB,403010
WRK,151030
WU,451020
WY,601010
WYND,253010
WYNN,253010
X,151040
XEC,101020
XEL,551010
XL,403010
XLNX,453010
XOM,101020
XRAY,351010
XRX,452020
XYL,201060
YUM,253010
ZBH,351010
ZBRA,452030
ZION,401010
ZTS,352020
